Model,DPO4034
Firmware Version,2.68

Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Point Format,Y,,Point Format,Y,,Point Format,Y
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Horizontal Scale,2e-06,,Horizontal Scale,4e-06,,Horizontal Scale,4e-06
Horizontal Delay,-3.2e-07,,Horizontal Delay,0,,Horizontal Delay,0
Sample Interval,2e-09,,Sample Interval,4e-09,,Sample Interval,4e-09
Record Length,10000,,Record Length,10000,,Record Length,10000
Gating,0.0% to 100.0%,,Gating,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,,Probe Attenuation,1,,Probe Attenuation,1
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
Vertical Offset,0,,Vertical Offset,0,,Vertical Offset,0
Vertical Scale,0.1,,Vertical Scale,0.1,,Vertical Scale,0.1
Vertical Position,-0.8,,Vertical Position,0,,Vertical Position,0
,,,,,,,
,,,,,,,
,,,,,,,
Label,,,Label,,,Label,
TIME,CH1,,TIME,REF2,,TIME,REF4
-1.0184e-05,0.184,,-1.9728e-05,nan,,-1.9728e-05,nan
-1.0182e-05,0.184,,-1.9724e-05,nan,,-1.9724e-05,nan
-1.0180e-05,0.176,,-1.9720e-05,nan,,-1.9720e-05,nan
-1.0178e-05,0.192,,-1.9716e-05,nan,,-1.9716e-05,nan
-1.0176e-05,0.184,,-1.9712e-05,nan,,-1.9712e-05,nan
-1.0174e-05,0.2,,-1.9708e-05,nan,,-1.9708e-05,nan
-1.0172e-05,0.188,,-1.9704e-05,nan,,-1.9704e-05,nan
-1.0170e-05,0.192,,-1.9700e-05,nan,,-1.9700e-05,nan
-1.0168e-05,0.192,,-1.9696e-05,nan,,-1.9696e-05,nan
-1.0166e-05,0.184,,-1.9692e-05,nan,,-1.9692e-05,nan
-1.0164e-05,0.188,,-1.9688e-05,nan,,-1.9688e-05,nan
-1.0162e-05,0.184,,-1.9684e-05,nan,,-1.9684e-05,nan
-1.0160e-05,0.196,,-1.9680e-05,nan,,-1.9680e-05,nan
-1.0158e-05,0.176,,-1.9676e-05,nan,,-1.9676e-05,nan
-1.0156e-05,0.184,,-1.9672e-05,nan,,-1.9672e-05,nan
-1.0154e-05,0.18,,-1.9668e-05,nan,,-1.9668e-05,nan
-1.0152e-05,0.184,,-1.9664e-05,nan,,-1.9664e-05,nan
-1.0150e-05,0.188,,-1.9660e-05,nan,,-1.9660e-05,nan
-1.0148e-05,0.184,,-1.9656e-05,nan,,-1.9656e-05,nan
-1.0146e-05,0.18,,-1.9652e-05,nan,,-1.9652e-05,nan
-1.0144e-05,0.184,,-1.9648e-05,nan,,-1.9648e-05,nan
-1.0142e-05,0.184,,-1.9644e-05,nan,,-1.9644e-05,nan
-1.0140e-05,0.184,,-1.9640e-05,nan,,-1.9640e-05,nan
-1.0138e-05,0.184,,-1.9636e-05,nan,,-1.9636e-05,nan
-1.0136e-05,0.184,,-1.9632e-05,nan,,-1.9632e-05,nan
-1.0134e-05,0.192,,-1.9628e-05,nan,,-1.9628e-05,nan
-1.0132e-05,0.184,,-1.9624e-05,nan,,-1.9624e-05,nan
-1.0130e-05,0.184,,-1.9620e-05,nan,,-1.9620e-05,nan
-1.0128e-05,0.196,,-1.9616e-05,nan,,-1.9616e-05,nan
-1.0126e-05,0.192,,-1.9612e-05,nan,,-1.9612e-05,nan
-1.0124e-05,0.188,,-1.9608e-05,nan,,-1.9608e-05,nan
-1.0122e-05,0.184,,-1.9604e-05,nan,,-1.9604e-05,nan
-1.0120e-05,0.196,,-1.9600e-05,nan,,-1.9600e-05,nan
-1.0118e-05,0.188,,-1.9596e-05,nan,,-1.9596e-05,nan
-1.0116e-05,0.192,,-1.9592e-05,nan,,-1.9592e-05,nan
-1.0114e-05,0.18,,-1.9588e-05,nan,,-1.9588e-05,nan
-1.0112e-05,0.196,,-1.9584e-05,nan,,-1.9584e-05,nan
-1.0110e-05,0.18,,-1.9580e-05,nan,,-1.9580e-05,nan
-1.0108e-05,0.184,,-1.9576e-05,nan,,-1.9576e-05,nan
-1.0106e-05,0.18,,-1.9572e-05,nan,,-1.9572e-05,nan
-1.0104e-05,0.192,,-1.9568e-05,nan,,-1.9568e-05,nan
-1.0102e-05,0.18,,-1.9564e-05,nan,,-1.9564e-05,nan
-1.0100e-05,0.184,,-1.9560e-05,nan,,-1.9560e-05,nan
-1.0098e-05,0.184,,-1.9556e-05,nan,,-1.9556e-05,nan
-1.0096e-05,0.184,,-1.9552e-05,nan,,-1.9552e-05,nan
-1.0094e-05,0.184,,-1.9548e-05,nan,,-1.9548e-05,nan
-1.0092e-05,0.188,,-1.9544e-05,nan,,-1.9544e-05,nan
-1.0090e-05,0.184,,-1.9540e-05,nan,,-1.9540e-05,nan
-1.0088e-05,0.18,,-1.9536e-05,nan,,-1.9536e-05,nan
-1.0086e-05,0.196,,-1.9532e-05,nan,,-1.9532e-05,nan
-1.0084e-05,0.184,,-1.9528e-05,nan,,-1.9528e-05,nan
-1.0082e-05,0.18,,-1.9524e-05,nan,,-1.9524e-05,nan
-1.0080e-05,0.184,,-1.9520e-05,nan,,-1.9520e-05,nan
-1.0078e-05,0.18,,-1.9516e-05,nan,,-1.9516e-05,nan
-1.0076e-05,0.184,,-1.9512e-05,nan,,-1.9512e-05,nan
-1.0074e-05,0.176,,-1.9508e-05,nan,,-1.9508e-05,nan
-1.0072e-05,0.196,,-1.9504e-05,nan,,-1.9504e-05,nan
-1.0070e-05,0.192,,-1.9500e-05,nan,,-1.9500e-05,nan
-1.0068e-05,0.184,,-1.9496e-05,nan,,-1.9496e-05,nan
-1.0066e-05,0.196,,-1.9492e-05,nan,,-1.9492e-05,nan
-1.0064e-05,0.188,,-1.9488e-05,nan,,-1.9488e-05,nan
-1.0062e-05,0.188,,-1.9484e-05,nan,,-1.9484e-05,nan
-1.0060e-05,0.184,,-1.9480e-05,nan,,-1.9480e-05,nan
-1.0058e-05,0.192,,-1.9476e-05,nan,,-1.9476e-05,nan
-1.0056e-05,0.18,,-1.9472e-05,nan,,-1.9472e-05,nan
-1.0054e-05,0.172,,-1.9468e-05,nan,,-1.9468e-05,nan
-1.0052e-05,0.188,,-1.9464e-05,nan,,-1.9464e-05,nan
-1.0050e-05,0.184,,-1.9460e-05,nan,,-1.9460e-05,nan
-1.0048e-05,0.192,,-1.9456e-05,nan,,-1.9456e-05,nan
-1.0046e-05,0.188,,-1.9452e-05,nan,,-1.9452e-05,nan
-1.0044e-05,0.18,,-1.9448e-05,nan,,-1.9448e-05,nan
-1.0042e-05,0.18,,-1.9444e-05,nan,,-1.9444e-05,nan
-1.0040e-05,0.18,,-1.9440e-05,nan,,-1.9440e-05,nan
-1.0038e-05,0.184,,-1.9436e-05,nan,,-1.9436e-05,nan
-1.0036e-05,0.192,,-1.9432e-05,nan,,-1.9432e-05,nan
-1.0034e-05,0.184,,-1.9428e-05,nan,,-1.9428e-05,nan
-1.0032e-05,0.188,,-1.9424e-05,nan,,-1.9424e-05,nan
-1.0030e-05,0.192,,-1.9420e-05,nan,,-1.9420e-05,nan
-1.0028e-05,0.192,,-1.9416e-05,nan,,-1.9416e-05,nan
-1.0026e-05,0.188,,-1.9412e-05,nan,,-1.9412e-05,nan
-1.0024e-05,0.196,,-1.9408e-05,nan,,-1.9408e-05,nan
-1.0022e-05,0.188,,-1.9404e-05,nan,,-1.9404e-05,nan
-1.0020e-05,0.184,,-1.9400e-05,nan,,-1.9400e-05,nan
-1.0018e-05,0.176,,-1.9396e-05,nan,,-1.9396e-05,nan
-1.0016e-05,0.188,,-1.9392e-05,nan,,-1.9392e-05,nan
-1.0014e-05,0.192,,-1.9388e-05,nan,,-1.9388e-05,nan
-1.0012e-05,0.2,,-1.9384e-05,nan,,-1.9384e-05,nan
-1.0010e-05,0.188,,-1.9380e-05,nan,,-1.9380e-05,nan
-1.0008e-05,0.184,,-1.9376e-05,nan,,-1.9376e-05,nan
-1.0006e-05,0.184,,-1.9372e-05,nan,,-1.9372e-05,nan
-1.0004e-05,0.196,,-1.9368e-05,nan,,-1.9368e-05,nan
-1.0002e-05,0.192,,-1.9364e-05,nan,,-1.9364e-05,nan
-1.0000e-05,0.184,,-1.9360e-05,nan,,-1.9360e-05,nan
-9.9980e-06,0.184,,-1.9356e-05,nan,,-1.9356e-05,nan
-9.9960e-06,0.184,,-1.9352e-05,nan,,-1.9352e-05,nan
-9.9940e-06,0.184,,-1.9348e-05,nan,,-1.9348e-05,nan
-9.9920e-06,0.188,,-1.9344e-05,nan,,-1.9344e-05,nan
-9.9900e-06,0.184,,-1.9340e-05,nan,,-1.9340e-05,nan
-9.9880e-06,0.188,,-1.9336e-05,nan,,-1.9336e-05,nan
-9.9860e-06,0.18,,-1.9332e-05,nan,,-1.9332e-05,nan
-9.9840e-06,0.188,,-1.9328e-05,nan,,-1.9328e-05,nan
-9.9820e-06,0.184,,-1.9324e-05,nan,,-1.9324e-05,nan
-9.9800e-06,0.184,,-1.9320e-05,nan,,-1.9320e-05,nan
-9.9780e-06,0.184,,-1.9316e-05,nan,,-1.9316e-05,nan
-9.9760e-06,0.192,,-1.9312e-05,nan,,-1.9312e-05,nan
-9.9740e-06,0.196,,-1.9308e-05,nan,,-1.9308e-05,nan
-9.9720e-06,0.188,,-1.9304e-05,nan,,-1.9304e-05,nan
-9.9700e-06,0.18,,-1.9300e-05,nan,,-1.9300e-05,nan
-9.9680e-06,0.188,,-1.9296e-05,nan,,-1.9296e-05,nan
-9.9660e-06,0.192,,-1.9292e-05,nan,,-1.9292e-05,nan
-9.9640e-06,0.172,,-1.9288e-05,nan,,-1.9288e-05,nan
-9.9620e-06,0.188,,-1.9284e-05,nan,,-1.9284e-05,nan
-9.9600e-06,0.18,,-1.9280e-05,nan,,-1.9280e-05,nan
-9.9580e-06,0.192,,-1.9276e-05,nan,,-1.9276e-05,nan
-9.9560e-06,0.184,,-1.9272e-05,nan,,-1.9272e-05,nan
-9.9540e-06,0.188,,-1.9268e-05,nan,,-1.9268e-05,nan
-9.9520e-06,0.184,,-1.9264e-05,nan,,-1.9264e-05,nan
-9.9500e-06,0.192,,-1.9260e-05,nan,,-1.9260e-05,nan
-9.9480e-06,0.192,,-1.9256e-05,nan,,-1.9256e-05,nan
-9.9460e-06,0.188,,-1.9252e-05,nan,,-1.9252e-05,nan
-9.9440e-06,0.18,,-1.9248e-05,nan,,-1.9248e-05,nan
-9.9420e-06,0.184,,-1.9244e-05,nan,,-1.9244e-05,nan
-9.9400e-06,0.196,,-1.9240e-05,nan,,-1.9240e-05,nan
-9.9380e-06,0.192,,-1.9236e-05,nan,,-1.9236e-05,nan
-9.9360e-06,0.192,,-1.9232e-05,nan,,-1.9232e-05,nan
-9.9340e-06,0.184,,-1.9228e-05,nan,,-1.9228e-05,nan
-9.9320e-06,0.192,,-1.9224e-05,nan,,-1.9224e-05,nan
-9.9300e-06,0.184,,-1.9220e-05,nan,,-1.9220e-05,nan
-9.9280e-06,0.184,,-1.9216e-05,nan,,-1.9216e-05,nan
-9.9260e-06,0.184,,-1.9212e-05,nan,,-1.9212e-05,nan
-9.9240e-06,0.184,,-1.9208e-05,nan,,-1.9208e-05,nan
-9.9220e-06,0.192,,-1.9204e-05,nan,,-1.9204e-05,nan
-9.9200e-06,0.192,,-1.9200e-05,nan,,-1.9200e-05,nan
-9.9180e-06,0.176,,-1.9196e-05,nan,,-1.9196e-05,nan
-9.9160e-06,0.184,,-1.9192e-05,nan,,-1.9192e-05,nan
-9.9140e-06,0.176,,-1.9188e-05,nan,,-1.9188e-05,nan
